Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
JhJLPp6KuBcD3CHCkEKJ_A,Cocoron  & Goemon Curry,16 Delancey St,"{'latitude': 40.72029996280202, 'longitude': -73.99304888458795}",1079,4.0,10002
8NVN6Nldm7AGoGaABBZMRw,Izakaya NoMad,13 W 26th St,"{'latitude': 40.74409, 'longitude': -73.98945}",725,4.0,10010
Q23LvHPuC9ajSbMEt8xoUw,Lucky Cat,232 E 53rd St,"{'latitude': 40.7570162692229, 'longitude': -73.9681779883895}",417,4.0,10022
nJh1ioLcN6XBQEstR6x9yw,Dai Hachi Sushi,46-18 Vernon Blvd,"{'latitude': 40.74633, 'longitude': -73.95319}",262,4.5,11101
Nbqzy3ea5_x2zXWkdWlUIQ,Sake Bar Hagi,245 W 51st St,"{'latitude': 40.762764505922895, 'longitude': -73.9849770740243}",414,4.0,10019
ieXKc6S3WlEiVkyxgaF9Ig,Tempura Matsui,222 E 39th St,"{'latitude': 40.74819, 'longitude': -73.97467}",183,4.5,10016
DNSFvZtdsqkaidmFSpm-Jw,Soba Noodle Azuma,251 W 55th St,"{'latitude': 40.76526, 'longitude': -73.9832}",378,4.0,10019
dEbI8l8o9mevbRdjANzsng,Prime Meat Rokko,783 9th Ave,"{'latitude': 40.76497010727244, 'longitude': -73.98807987570763}",209,4.5,10019
hUf1EpnxbxFU4gf2nL7H-Q,Raku It's Japanese,212 East 52nd St,"{'latitude': 40.756591, 'longitude': -73.969306}",173,4.5,10022
QR1YIRzFjd2bi5iBzT9zXg,Blue Ribbon Sushi,119 Sullivan St,"{'latitude': 40.72612, 'longitude': -74.0025299}",1218,4.0,10012
aK2ipD9K8-usBw_gkvvJuw,Nare Sushi,115 E 57th St,"{'latitude': 40.76143, 'longitude': -73.96992}",393,4.0,10022
ZfuZ2byArGq-5j8zX8Afeg,Zest Sushi,249 Broome St,"{'latitude': 40.7178344726563, 'longitude': -73.9899597167969}",927,4.0,10002
O9WmKufAUqDM0j2HpgLVlw,Tamashii Ramen,2905 Broadway,"{'latitude': 40.7628026, 'longitude': -73.926578}",822,4.0,11106
D6ZEcG1FCZ18nekMWrhgMg,Wokuni,327 Lexington Ave,"{'latitude': 40.7492189, 'longitude': -73.9773529}",372,4.0,10016
wcwftlB-61XG4ymGTR61aw,SakaMai,157 Ludlow St,"{'latitude': 40.7209536656701, 'longitude': -73.9881407239426}",774,4.0,10002
8tcFpd0dcmfzbLgbTO4tdw,Sen Sakana,28 W 44th St,"{'latitude': 40.75522571524429, 'longitude': -73.98163}",322,4.0,10036
2_zM-VTPBINeV74yqlho9w,Ooi Sushi and Bar,42-36 Crescent St,"{'latitude': 40.749814, 'longitude': -73.941476}",257,4.5,11101
Fv6ueSQwc_ITpXEhybHvtA,RA Sushi Times Square,"229 West 43rd St, Unit 221","{'latitude': 40.7574225387188, 'longitude': -73.9874100349182}",898,3.5,10036
9xRIcn0jTyvWNH9aBO3oAA,Kenka,25 St Marks Pl,"{'latitude': 40.72913, 'longitude': -73.988465}",1647,3.5,10003
QaEqD7q2GtmlovBOPC6yIQ,Murasaki,46-44 Vernon Blvd,"{'latitude': 40.74567678701478, 'longitude': -73.95327455356471}",258,4.5,11101
lY_gb_hNbit6GHBiOn3VeQ,Nami Nori,33 Carmine St,"{'latitude': 40.730284, 'longitude': -74.003212}",680,4.0,10014
6FZf17rNThWKoF4EU18wnw,Yakiniku Futago,37 W 17th St,"{'latitude': 40.738851870947, 'longitude': -73.9941236398979}",446,4.0,10011
Cg5kGSXIelsKX9eqlHr31A,Kyuramen - Union Square,210 E 14th St,"{'latitude': 40.73310125993799, 'longitude': -73.9866958494115}",544,4.5,10003
8cyRl5HIQzbkYD7orq223g,SHI,4720 Center Blvd,"{'latitude': 40.74599336793073, 'longitude': -73.957094}",910,3.5,11109
vX0_qcuVXoeeH1_24I8lSA,Sushi Kaito,244 W 72nd St,"{'latitude': 40.779199, 'longitude': -73.983662}",203,4.5,10023
qU3ejLMndurKQTkM01gutg,Zuma,261 Madison Ave,"{'latitude': 40.750483, 'longitude': -73.980642}",784,3.5,10016
psqD5se4A0sv9Zn3PyUlcg,K-Bap,62 W 56th St,"{'latitude': 40.76332, 'longitude': -73.97717}",482,4.0,10019
b7Eg41LKjL2BtOXEqVCoeQ,Ramen Misoya,129 2nd Ave,"{'latitude': 40.7285309, 'longitude': -73.988121}",991,4.0,10003
pqebqpVTT8bR_s9iEu8dOA,Curry-Ya,218 E 10th St,"{'latitude': 40.72924, 'longitude': -73.9858}",758,4.0,10003
eQ4QUGvuHGBzsOrphsVc6A,Kimura,31 St Marks Pl,"{'latitude': 40.728995, 'longitude': -73.988279}",326,4.5,10003
SPyN19tjQyRTD-ltN0qNJw,Koku Ramen,2 W 32nd St,"{'latitude': 40.7472532, 'longitude': -73.9861784}",502,4.0,10001
2f0EWTvp3YDtGNKEEXKKhA,Naruto Ramen,1596 3rd Ave,"{'latitude': 40.781223, 'longitude': -73.952636}",1037,3.5,10128
7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,231 E 9th St,"{'latitude': 40.729564, 'longitude': -73.98786}",751,4.0,10003
oIPpGBpDdi_Z_7hhXGvW8Q,Kealoha Sushi & Poke Bowl,330 E 53rd St,"{'latitude': 40.7561010455144, 'longitude': -73.9660321176052}",124,4.5,10022
P_UREWCQxEYVbBa-KW_Wew,EN Japanese Brasserie,435 Hudson St,"{'latitude': 40.7306, 'longitude': -74.00698}",1345,4.0,10014
VzstANC68PM1BbyOcDXEtw,Donburiya,253 W 55th St,"{'latitude': 40.76528, 'longitude': -73.98326}",430,4.0,10019
i9W3EVA6FjB6lWWSEmhndA,Sake Bar Decibel,240 E 9th St,"{'latitude': 40.729299, 'longitude': -73.9878008}",1055,4.0,10003
t7BIiUN0tFg33kySuuQ0aQ,Masa,"10 Columbus Cir, Fl 4, Time Warner Center","{'latitude': 40.7685297553528, 'longitude': -73.98304619784298}",397,4.0,10019
KHRrlw05_pv_fd8ntvS1xw,SUGARFISH by Sushi Nozawa - Midtown West,210 W 56th St,"{'latitude': 40.764976, 'longitude': -73.981655}",235,4.0,10019
ZOpnIsm7ihoO1gq2YmGdzw,Zurutto Ramen & Gyoza Bar,142 W 72nd St,"{'latitude': 40.777836, 'longitude': -73.980476}",480,4.0,10023
Brs_MJhAXe60iMnlpeqkKA,Yakiniku West,218 E 9th St,"{'latitude': 40.72965099486931, 'longitude': -73.98855901656697}",754,4.0,10003
b3fuuJzb0uQDtVD3Zxe2Qg,Sushi Ryusei,216 E 39th St,"{'latitude': 40.74845, 'longitude': -73.97513}",139,4.5,10016
WLl0nKeWBksVM5SkKKuLpg,TabeTomo,131 Ave A,"{'latitude': 40.72694509999999, 'longitude': -73.98316}",533,4.0,10009
c9WNksyNtogFwZ1NZhlbNw,Sushi 35 West,"232 W 35th St, 2FL","{'latitude': 40.7520926, 'longitude': -73.9913971}",139,4.5,10001
wqYHhMnpdfUVGL5JI3Wi_A,Ivan Ramen,25 Clinton St,"{'latitude': 40.72058, 'longitude': -73.98454}",1512,3.5,10002
XOUhjDQ4nRn8-u-79MHFww,Kohoku-Ku Ramen,709 9th Ave,"{'latitude': 40.76265, 'longitude': -73.9899}",202,4.5,10019
wpT1QU7PSQgQQ1DkzI00JA,Izakaya Toribar,164 E 56th St,"{'latitude': 40.759641, 'longitude': -73.9685558}",152,4.0,10022
Zjdtcex73QIz2_MvEvDrFQ,MakiMaki Sushi,1369 6th Ave,"{'latitude': 40.7633913312621, 'longitude': -73.9780393019703}",245,4.0,10019
xFp3xSQ43J-i7nmJfNBsZA,Norikoh,43 W 24th St,"{'latitude': 40.7433, 'longitude': -73.99137}",631,4.0,10010
kCpKwCW49k3ImuI5cK6LSw,Gu Japanese Fusion Sushi & Bar,155 E 52nd St,"{'latitude': 40.75743, 'longitude': -73.97042}",235,4.0,10022
6qK0MyhsXYLgMSPWZdleGA,Dai Hachi Sushi,1074 2nd Ave,"{'latitude': 40.75886, 'longitude': -73.96539}",231,4.0,10022
MwtXOkRUndPU-ivbtLD-bQ,Amura Japanese,1567 2nd Ave,"{'latitude': 40.775001, 'longitude': -73.9542}",385,4.0,10028
C5tqSSgVPfgtsJn3QnvDiQ,Hibino,10-70 Jackson Ave,"{'latitude': 40.742626, 'longitude': -73.95198}",270,4.0,11101
UB5emSFilql0J10Jx4AHXA,Watawa Sushi,33-10 Ditmars Blvd,"{'latitude': 40.774959, 'longitude': -73.9095}",978,4.0,11105
GlPJPpKvPR4d8dmcSEYpdA,Takahachi Bakery,25 Murray St,"{'latitude': 40.71373, 'longitude': -74.00843}",1006,4.0,10007
lxQ-tzFmL1tmUqZUN-CSRQ,Bozu,296 Grand St,"{'latitude': 40.7129, 'longitude': -73.95749}",876,4.0,11211
4Jp0wdJXLpmgCwWv6o6YEQ,Torishin,362 W 53rd St,"{'latitude': 40.76496, 'longitude': -73.98721}",355,4.0,10019
TwxP5xU_xyzlf7SVzCnpuA,Proong Noodle Bar,347 1st Ave,"{'latitude': 40.73528, 'longitude': -73.98003}",193,4.5,10010
